model_type,task_type,question_idx,gold_answer,baseline_stop_window,baseline_tokens_saved,stop_window_0.50,stop_window_0.85,stop_window_0.95,tokens_saved_0.50,tokens_saved_0.85,tokens_saved_0.95,is_correct_full,is_correct_baseline,is_correct_0.50,is_correct_0.85,is_correct_0.95
GPT3.5,gsm8k,37,2,40,0,5,5,25,2978,2978,1254,False,False,False,False,False
GPT3.5,gsm8k,38,10,40,0,5,5,20,3534,3534,1989,True,True,True,True,True
GPT3.5,gsm8k,39,18,40,0,5,5,35,5489,5489,632,True,True,True,True,True
GPT3.5,gsm8k,40,8,5,1760,5,5,5,1760,1760,1760,True,True,True,True,True
GPT3.5,gsm8k,41,200,40,0,5,5,25,3026,3026,1375,True,True,False,False,True
GPT3.5,gsm8k,42,26,5,1776,5,5,40,1776,1776,0,True,True,True,True,True
GPT3.5,gsm8k,43,48,40,0,5,5,5,4296,4296,4296,True,True,False,False,False
GPT3.5,gsm8k,44,20,40,0,5,5,15,2909,2909,2038,False,False,True,True,False
GPT3.5,gsm8k,45,104,5,4226,5,5,40,4226,4226,0,True,True,True,True,True
GPT3.5,gsm8k,46,163,40,0,5,5,10,2089,2089,1798,False,False,False,False,True
GPT3.5,gsm8k,47,800,40,0,5,5,5,3019,3019,3019,True,True,True,True,True
GPT3.5,gsm8k,48,8,5,1448,5,5,40,1448,1448,0,True,True,True,True,True
GPT3.5,gsm8k,49,30,5,1954,5,5,5,1954,1954,1954,True,True,True,True,True
GPT3.5,gsm8k,50,294,5,2032,5,5,5,2032,2032,2032,True,True,True,True,True
GPT3.5,gsm8k,51,5,40,0,5,10,40,1642,1444,0,True,True,False,False,True
GPT3.5,gsm8k,52,15,5,2144,5,5,5,2144,2144,2144,True,True,True,True,True
GPT3.5,gsm8k,53,40,5,3195,5,5,40,3195,3195,0,True,True,True,True,True
GPT3.5,gsm8k,54,40,40,0,5,5,10,1385,1385,1193,True,True,True,True,True
GPT3.5,gsm8k,55,14,5,1366,5,5,5,1366,1366,1366,True,True,True,True,True
GPT3.5,gsm8k,56,3,5,1711,5,5,5,1711,1711,1711,True,True,True,True,True
GPT3.5,gsm8k,57,83,5,3179,5,5,15,3179,3179,2343,True,True,True,True,True
GPT3.5,gsm8k,58,57,40,0,5,5,5,2234,2234,2234,False,False,False,False,False
GPT3.5,gsm8k,59,187,5,1618,5,5,5,1618,1618,1618,True,True,True,True,True
GPT3.5,gsm8k,60,17,5,2391,5,5,5,2391,2391,2391,True,True,True,True,True
GPT3.5,gsm8k,61,1430,5,1524,5,20,40,1524,912,0,True,True,True,True,True
GPT3.5,gsm8k,62,25000,5,2747,5,5,15,2747,2747,1843,False,False,False,False,False
GPT3.5,gsm8k,63,1596,25,1400,5,5,40,3215,3215,0,True,True,True,True,True
GPT3.5,gsm8k,64,300,20,1270,5,5,20,2173,2173,1270,True,True,True,True,True
GPT3.5,gsm8k,65,36,10,1505,5,5,10,1767,1767,1505,True,True,True,True,True
GPT3.5,gsm8k,66,48,40,0,5,5,15,2376,2376,1693,True,True,True,True,True
GPT3.5,gsm8k,67,595,5,1960,5,5,5,1960,1960,1960,True,True,True,True,True
GPT3.5,gsm8k,68,36,5,1989,5,5,10,1989,1989,1706,True,True,True,True,True
GPT3.5,gsm8k,69,60,5,1782,5,5,40,1782,1782,0,True,True,True,True,True
GPT3.5,gsm8k,70,7425,40,0,5,5,40,2668,2668,0,False,False,False,False,False
GPT3.5,gsm8k,71,60,5,1616,5,5,5,1616,1616,1616,True,True,True,True,True
GPT3.5,gsm8k,72,221,5,1759,5,5,5,1759,1759,1759,True,True,True,True,True
GPT3.5,gsm8k,73,255,40,0,5,5,5,2594,2594,2594,True,True,True,True,True
GPT3.5,gsm8k,74,88,15,1904,5,5,5,2653,2653,2653,True,True,True,True,True
GPT3.5,gsm8k,75,60,10,3024,5,5,40,3568,3568,0,True,True,True,True,True
GPT3.5,gsm8k,76,5,5,3995,5,5,5,3995,3995,3995,True,True,True,True,True
GPT3.5,gsm8k,77,100,5,2212,5,5,5,2212,2212,2212,True,True,True,True,True
GPT3.5,gsm8k,78,6,15,2215,5,5,5,3113,3113,3113,True,True,False,False,False
GPT3.5,gsm8k,79,70,20,497,5,30,40,848,201,0,True,True,True,True,True
GPT3.5,gsm8k,80,10,5,2027,5,5,5,2027,2027,2027,True,True,True,True,True
GPT3.5,gsm8k,81,17,5,2274,5,5,5,2274,2274,2274,True,True,True,True,True
GPT3.5,gsm8k,82,623,5,1513,5,5,5,1513,1513,1513,True,True,True,True,True
GPT3.5,gsm8k,83,600,5,1434,5,5,5,1434,1434,1434,True,True,True,True,True
GPT3.5,gsm8k,84,15,5,3402,5,5,15,3402,3402,2449,True,True,True,True,True
GPT3.5,gsm8k,85,44,5,1314,5,5,5,1314,1314,1314,True,True,True,True,True
GPT3.5,gsm8k,86,22,5,2537,5,5,5,2537,2537,2537,True,True,True,True,True
GPT3.5,gsm8k,87,9360,40,0,5,5,15,2986,2986,2191,False,False,False,False,False
GPT3.5,gsm8k,88,8000,5,1980,5,5,10,1980,1980,1718,False,False,False,False,False
GPT3.5,gsm8k,89,24,15,1501,5,5,10,2103,2103,1796,False,False,False,False,False
GPT3.5,gsm8k,90,225,5,2974,5,5,40,2974,2974,0,True,True,True,True,True
GPT3.5,gsm8k,91,28,5,1883,5,5,5,1883,1883,1883,True,True,True,True,True
GPT3.5,gsm8k,92,4,5,2184,5,5,5,2184,2184,2184,True,True,True,True,True
GPT3.5,gsm8k,93,36,10,2487,5,5,20,2856,2856,1625,True,True,True,True,True
GPT3.5,gsm8k,94,348,10,2430,5,5,5,2789,2789,2789,True,True,True,True,True
GPT3.5,gsm8k,95,40,5,2492,5,5,10,2492,2492,2179,True,True,True,True,True
GPT3.5,gsm8k,96,3,5,1470,5,5,5,1470,1470,1470,True,True,True,True,True
GPT3.5,gsm8k,97,12,15,1624,5,5,25,2322,2322,980,True,True,True,True,True
GPT3.5,gsm8k,98,5,40,0,5,5,40,3491,3491,0,True,True,False,False,True
GPT3.5,gsm8k,99,58,5,2961,5,5,40,2961,2961,0,True,True,True,True,True
GPT3.5,gsm8k,100,175,5,2712,5,5,5,2712,2712,2712,True,True,True,True,True
GPT3.5,gsm8k,101,6,5,2270,5,5,5,2270,2270,2270,True,True,True,True,True
GPT3.5,gsm8k,102,26,40,0,5,5,5,3213,3213,3213,True,True,True,True,True
GPT3.5,gsm8k,103,140,5,1469,5,5,40,1469,1469,0,True,True,True,True,True
GPT3.5,gsm8k,104,500,5,2273,5,5,35,2273,2273,324,True,True,True,True,True
GPT3.5,gsm8k,105,20,5,1186,5,5,5,1186,1186,1186,True,True,True,True,True
GPT3.5,gsm8k,106,72,25,920,5,5,5,2196,2196,2196,True,True,True,True,True
GPT3.5,gsm8k,107,3,40,0,5,5,25,3693,3693,1587,True,True,True,True,True
GPT3.5,gsm8k,108,50,40,0,5,5,40,3648,3648,0,True,True,True,True,True
GPT3.5,gsm8k,109,28,40,0,5,5,5,2434,2434,2434,False,False,False,False,False
GPT3.5,gsm8k,110,45,5,2173,5,5,5,2173,2173,2173,True,True,True,True,True
GPT3.5,gsm8k,111,16,30,963,5,5,15,3357,3357,2467,True,True,False,False,True
GPT3.5,gsm8k,112,24,20,1054,5,5,5,1892,1892,1892,True,True,True,True,True
GPT3.5,gsm8k,113,25,5,1399,5,5,5,1399,1399,1399,True,True,True,True,True
GPT3.5,gsm8k,114,6,5,2900,5,5,15,2900,2900,2148,True,True,True,True,True
GPT3.5,gsm8k,115,90,10,4437,5,5,35,5225,5225,766,True,True,True,True,True
GPT3.5,gsm8k,116,42,5,3538,5,5,30,3538,3538,1082,True,True,True,True,True
GPT3.5,gsm8k,117,360,10,1444,5,5,5,1690,1690,1690,True,True,True,True,True
GPT3.5,gsm8k,118,4,5,2693,5,5,5,2693,2693,2693,True,True,True,True,True
GPT3.5,gsm8k,119,95200,40,0,5,5,5,2764,2764,2764,False,False,False,False,False
GPT3.5,gsm8k,120,240,5,1672,5,5,5,1672,1672,1672,True,True,True,True,True
GPT3.5,gsm8k,121,27,5,2648,5,5,5,2648,2648,2648,True,True,True,True,True
GPT3.5,gsm8k,122,48,40,0,5,5,5,3277,3277,3277,False,False,True,True,True
GPT3.5,gsm8k,123,50,5,2347,5,5,5,2347,2347,2347,True,True,True,True,True
GPT3.5,gsm8k,124,10,15,1489,5,5,5,2123,2123,2123,True,True,True,True,True
GPT3.5,gsm8k,125,10,40,0,5,5,40,3047,3047,0,True,True,False,False,True
GPT3.5,gsm8k,126,82,5,1402,5,5,5,1402,1402,1402,True,True,True,True,True
GPT3.5,gsm8k,127,120,5,1220,5,5,5,1220,1220,1220,True,True,True,True,True
GPT3.5,gsm8k,128,880,20,2014,5,5,5,3429,3429,3429,True,True,True,True,True
GPT3.5,gsm8k,129,10000,10,2410,5,5,10,2858,2858,2410,False,False,False,False,False
GPT3.5,gsm8k,130,30,5,1646,5,25,40,1646,716,0,True,True,True,True,True
GPT3.5,gsm8k,131,940,5,1619,5,5,5,1619,1619,1619,True,True,True,True,True
GPT3.5,gsm8k,132,60,5,2789,5,5,5,2789,2789,2789,True,True,True,True,True
GPT3.5,gsm8k,133,13,5,2218,5,5,5,2218,2218,2218,True,True,True,True,True
GPT3.5,gsm8k,134,720,5,1480,5,5,5,1480,1480,1480,True,True,True,True,True
GPT3.5,gsm8k,135,40,20,1142,5,5,40,2050,2050,0,True,True,False,False,True
GPT3.5,gsm8k,136,6,5,1469,5,5,5,1469,1469,1469,True,True,True,True,True
GPT3.5,gsm8k,137,29,10,2413,5,5,15,2814,2814,2008,True,True,True,True,True
GPT3.5,gsm8k,138,105,15,2160,5,5,5,3041,3041,3041,True,True,True,True,True
GPT3.5,gsm8k,139,70,20,1433,5,5,40,2870,2870,0,True,True,True,True,True
GPT3.5,gsm8k,140,20,5,2412,5,5,5,2412,2412,2412,True,True,True,True,True
GPT3.5,gsm8k,141,400,40,0,5,5,10,2549,2549,2258,False,False,False,False,False
GPT3.5,gsm8k,142,140,5,1852,5,5,10,1852,1852,1587,True,True,True,True,True
GPT3.5,gsm8k,143,16,40,0,5,5,40,2380,2380,0,False,False,False,False,False
GPT3.5,gsm8k,144,20,10,3130,5,5,20,3650,3650,2140,True,True,True,True,True
GPT3.5,gsm8k,145,4000,5,2104,5,5,5,2104,2104,2104,True,True,True,True,True
GPT3.5,gsm8k,146,2125,5,1936,5,5,40,1936,1936,0,True,True,True,True,True
GPT3.5,gsm8k,147,75,40,0,5,5,5,3880,3880,3880,False,False,False,False,False
GPT3.5,gsm8k,148,30,5,2069,5,5,40,2069,2069,0,True,True,True,True,True
GPT3.5,gsm8k,149,16,5,1827,5,5,5,1827,1827,1827,True,True,True,True,True
GPT3.5,gsm8k,150,4,5,3663,5,5,40,3663,3663,0,True,True,True,True,True
GPT3.5,gsm8k,151,5,10,2573,5,5,40,3029,3029,0,True,True,True,True,True
GPT3.5,gsm8k,152,4,10,1676,5,5,5,1952,1952,1952,True,True,True,True,True
GPT3.5,gsm8k,153,48,40,0,5,5,10,4847,4847,4068,False,False,True,True,True
GPT3.5,gsm8k,154,272,5,3161,5,5,5,3161,3161,3161,True,True,True,True,True
GPT3.5,gsm8k,155,280,20,1953,5,5,40,3648,3648,0,True,True,True,True,True
GPT3.5,gsm8k,156,1400,40,0,5,5,15,1698,1698,1205,True,True,True,True,True
GPT3.5,gsm8k,157,80,20,1579,5,5,5,2721,2721,2721,False,False,False,False,False
GPT3.5,gsm8k,158,34,5,2281,5,5,5,2281,2281,2281,True,True,True,True,True
GPT3.5,gsm8k,159,15,5,1735,5,5,5,1735,1735,1735,True,True,True,True,True
GPT3.5,gsm8k,160,16,5,1485,5,5,5,1485,1485,1485,True,True,True,True,True
GPT3.5,gsm8k,161,32,5,3379,5,5,5,3379,3379,3379,True,True,True,True,True
GPT3.5,gsm8k,162,92,40,0,5,5,40,3868,3868,0,False,False,False,False,False
GPT3.5,gsm8k,163,50,40,0,5,5,10,2009,2009,1721,True,True,True,True,True
GPT3.5,gsm8k,164,15,5,1930,5,5,35,1930,1930,296,True,True,True,True,True
GPT3.5,gsm8k,165,77,5,1820,5,5,5,1820,1820,1820,True,True,True,True,True
GPT3.5,gsm8k,166,5,15,1338,5,5,5,1854,1854,1854,True,True,True,True,True
GPT3.5,gsm8k,167,16,5,3922,5,5,5,3922,3922,3922,True,True,True,True,True
GPT3.5,gsm8k,168,18,5,1288,5,5,5,1288,1288,1288,True,True,True,True,True
GPT3.5,gsm8k,169,120,5,2152,5,5,5,2152,2152,2152,True,True,True,True,True
GPT3.5,gsm8k,170,150,5,2953,5,5,5,2953,2953,2953,True,True,True,True,True
GPT3.5,gsm8k,171,1210,5,2442,5,5,20,2442,2442,1405,True,True,True,True,True
GPT3.5,gsm8k,172,51,40,0,5,5,5,2611,2611,2611,False,False,True,True,True
GPT3.5,gsm8k,173,18000,40,0,5,5,40,3443,3443,0,False,False,False,False,False
GPT3.5,gsm8k,174,95,5,3246,5,5,10,3246,3246,2740,True,True,True,True,True
GPT3.5,gsm8k,175,15,40,0,5,5,5,3059,3059,3059,False,False,False,False,False
GPT3.5,gsm8k,176,100,5,1626,5,5,40,1626,1626,0,True,True,True,True,True
GPT3.5,gsm8k,177,350,5,4619,5,5,5,4619,4619,4619,True,True,True,True,True
GPT3.5,gsm8k,178,122,5,1761,5,5,5,1761,1761,1761,True,True,True,True,True
GPT3.5,gsm8k,179,130,5,2026,5,5,5,2026,2026,2026,True,True,True,True,True
GPT3.5,gsm8k,180,20,5,1741,5,5,40,1741,1741,0,True,True,True,True,True
GPT3.5,gsm8k,181,160,15,4669,5,5,40,6596,6596,0,False,False,False,False,False
GPT3.5,gsm8k,182,23,40,0,5,5,5,1612,1612,1612,True,True,False,False,False
GPT3.5,gsm8k,183,2,5,2834,5,5,40,2834,2834,0,True,True,True,True,True
GPT3.5,gsm8k,184,25,40,0,5,5,40,5341,5341,0,False,False,False,False,False
GPT3.5,gsm8k,185,30,5,1184,5,5,5,1184,1184,1184,True,True,True,True,True
GPT3.5,gsm8k,186,5,5,5835,5,5,20,5835,5835,3538,True,True,True,True,True
GPT3.5,gsm8k,187,106,5,1757,5,5,40,1757,1757,0,True,True,True,True,True
GPT3.5,gsm8k,188,50,30,1594,5,5,40,5322,5322,0,True,True,True,True,True
GPT3.5,gsm8k,189,34,5,2913,5,5,40,2913,2913,0,True,True,True,True,True
GPT3.5,gsm8k,190,360,5,1425,5,5,5,1425,1425,1425,True,True,True,True,True
GPT3.5,gsm8k,191,5,5,2104,5,5,5,2104,2104,2104,True,True,True,True,True
GPT3.5,gsm8k,192,91,5,1985,5,5,40,1985,1985,0,True,True,True,True,True
GPT3.5,gsm8k,193,24,5,3168,5,5,40,3168,3168,0,True,True,True,True,True
GPT3.5,gsm8k,194,10,5,1616,5,5,5,1616,1616,1616,True,True,True,True,True
GPT3.5,gsm8k,195,12,5,1493,5,5,5,1493,1493,1493,True,True,True,True,True
GPT3.5,gsm8k,196,120,5,1924,5,5,5,1924,1924,1924,True,True,True,True,True
GPT3.5,gsm8k,197,6277,40,0,5,10,15,1549,1317,1095,True,True,False,True,True
GPT3.5,gsm8k,198,320,40,0,5,5,5,3368,3368,3368,False,False,False,False,False
GPT3.5,gsm8k,199,7500,25,1698,5,5,5,4040,4040,4040,True,True,True,True,True
GPT3.5,gsm8k,200,55,5,2253,5,5,5,2253,2253,2253,True,True,True,True,True
GPT3.5,gsm8k,201,114200,40,0,5,5,40,2613,2613,0,False,False,False,False,False
GPT3.5,gsm8k,202,100,5,1650,5,5,10,1650,1650,1396,True,True,True,True,True
GPT3.5,gsm8k,203,31,5,4009,5,5,5,4009,4009,4009,True,True,True,True,True
GPT3.5,gsm8k,204,98,5,2617,5,5,5,2617,2617,2617,True,True,True,True,True
GPT3.5,gsm8k,205,98,40,0,5,5,40,3715,3715,0,False,False,False,False,False
GPT3.5,gsm8k,206,860,5,3317,5,5,15,3317,3317,2392,True,True,True,True,True
GPT3.5,gsm8k,207,2600,10,2017,5,5,10,2362,2362,2017,True,True,True,True,True
GPT3.5,gsm8k,208,76,5,2154,5,5,5,2154,2154,2154,True,True,True,True,True
GPT3.5,gsm8k,209,145,20,1777,5,5,40,3007,3007,0,False,False,False,False,False
GPT3.5,gsm8k,210,10,10,3304,5,5,40,3875,3875,0,True,True,True,True,True
GPT3.5,gsm8k,211,4,5,4059,5,5,5,4059,4059,4059,True,True,True,True,True
GPT3.5,gsm8k,212,5,5,1877,5,5,10,1877,1877,1573,True,True,True,True,True
GPT3.5,gsm8k,213,250,5,2500,5,5,5,2500,2500,2500,True,True,True,True,True
GPT3.5,gsm8k,214,8,40,0,5,5,40,6127,6127,0,True,True,True,True,True
GPT3.5,gsm8k,215,44,5,2132,5,5,40,2132,2132,0,True,True,True,True,True
GPT3.5,gsm8k,216,220,5,2397,5,5,40,2397,2397,0,True,True,True,True,True
GPT3.5,gsm8k,217,15,5,1549,5,5,5,1549,1549,1549,True,True,True,True,True
GPT3.5,gsm8k,218,45,15,2396,5,5,5,3380,3380,3380,True,True,True,True,True
GPT3.5,gsm8k,219,54,40,0,5,5,5,2946,2946,2946,True,True,True,True,True
GPT3.5,gsm8k,220,70,5,2306,5,5,15,2306,2306,1700,True,True,True,True,True
GPT3.5,gsm8k,221,90,5,2340,5,5,5,2340,2340,2340,True,True,True,True,True
GPT3.5,gsm8k,222,140,5,1447,5,5,5,1447,1447,1447,True,True,True,True,True
GPT3.5,gsm8k,223,20000,5,1645,5,5,5,1645,1645,1645,True,True,True,True,True
GPT3.5,gsm8k,224,180,5,1998,5,5,5,1998,1998,1998,True,True,True,True,True
GPT3.5,gsm8k,225,9,5,1921,5,5,20,1921,1921,1069,True,True,True,True,True
GPT3.5,gsm8k,226,33,40,0,5,5,20,3210,3210,1865,True,True,False,False,True
GPT3.5,gsm8k,227,9,20,1588,5,5,30,2784,2784,779,False,False,False,False,False
GPT3.5,gsm8k,228,1,5,2697,5,5,10,2697,2697,2279,True,True,True,True,True
GPT3.5,gsm8k,229,21,5,2594,5,10,40,2594,2242,0,True,True,True,True,True
GPT3.5,gsm8k,230,276000,40,0,5,5,40,2118,2118,0,False,False,True,True,False
GPT3.5,gsm8k,231,50,5,1756,5,5,5,1756,1756,1756,True,True,True,True,True
GPT3.5,gsm8k,232,75,5,1330,5,5,5,1330,1330,1330,True,True,True,True,True
GPT3.5,gsm8k,233,12,5,2055,5,5,5,2055,2055,2055,True,True,True,True,True
GPT3.5,gsm8k,234,21,15,1528,5,5,40,2167,2167,0,True,True,True,True,True
GPT3.5,gsm8k,235,10,15,1225,5,5,10,1709,1709,1454,True,True,True,True,True
GPT3.5,gsm8k,236,31,10,1709,5,5,30,1956,1956,615,False,False,False,False,False
GPT3.5,gsm8k,237,90,5,1352,5,5,40,1352,1352,0,True,True,True,True,True
GPT3.5,gsm8k,238,68,5,2027,5,5,5,2027,2027,2027,True,True,True,True,True
GPT3.5,gsm8k,239,280,10,2929,5,5,5,3421,3421,3421,True,True,True,True,True
GPT3.5,gsm8k,240,21,5,1936,5,5,5,1936,1936,1936,True,True,True,True,True
GPT3.5,gsm8k,241,6,5,1625,5,5,5,1625,1625,1625,True,True,True,True,True
GPT3.5,gsm8k,242,3,40,0,5,5,40,3348,3348,0,False,False,True,True,False
GPT3.5,gsm8k,243,250,5,2375,5,5,5,2375,2375,2375,True,True,True,True,True
GPT3.5,gsm8k,244,20,40,0,5,5,40,4188,4188,0,True,True,True,True,True
GPT3.5,gsm8k,245,7,5,2311,5,5,5,2311,2311,2311,False,False,False,False,False
GPT3.5,gsm8k,246,27000,20,1463,5,5,40,2694,2694,0,True,True,True,True,True
GPT3.5,gsm8k,247,32,5,1554,5,5,10,1554,1554,1338,True,True,True,True,True
GPT3.5,gsm8k,248,300,5,1634,5,5,5,1634,1634,1634,True,True,True,True,True
GPT3.5,gsm8k,249,5600,5,3433,5,5,5,3433,3433,3433,True,True,True,True,True
GPT3.5,gsm8k,250,17,5,3390,5,5,15,3390,3390,2400,True,True,True,True,True
GPT3.5,gsm8k,251,70,5,1206,5,5,5,1206,1206,1206,True,True,True,True,True
GPT3.5,gsm8k,252,73,40,0,5,5,5,2572,2572,2572,True,True,True,True,True
GPT3.5,gsm8k,253,18,5,1429,5,5,5,1429,1429,1429,True,True,True,True,True
GPT3.5,gsm8k,254,84,5,1867,5,5,5,1867,1867,1867,True,True,True,True,True
GPT3.5,gsm8k,255,192,15,2459,5,5,5,3398,3398,3398,False,False,False,False,False
GPT3.5,gsm8k,256,45,5,2548,5,5,5,2548,2548,2548,True,True,True,True,True
GPT3.5,gsm8k,257,5600,5,2584,5,5,15,2584,2584,1841,True,True,True,True,True
GPT3.5,gsm8k,258,6,5,1839,5,5,10,1839,1839,1575,False,False,False,False,False
GPT3.5,gsm8k,259,168,40,0,5,5,25,4648,4648,1712,False,False,True,True,True
GPT3.5,gsm8k,260,11,5,2654,5,5,15,2654,2654,1836,True,True,True,True,True
GPT3.5,gsm8k,261,62,5,2000,5,5,5,2000,2000,2000,True,True,True,True,True
GPT3.5,gsm8k,262,270,5,1417,5,5,5,1417,1417,1417,True,True,True,True,True
GPT3.5,gsm8k,263,8,5,2004,5,5,5,2004,2004,2004,True,True,True,True,True
GPT3.5,gsm8k,264,400,5,1400,5,5,5,1400,1400,1400,True,True,True,True,True
GPT3.5,gsm8k,265,9500,5,2942,5,5,5,2942,2942,2942,False,False,False,False,False
GPT3.5,gsm8k,266,118000,5,2766,5,5,10,2766,2766,2378,False,False,False,False,False
GPT3.5,gsm8k,267,91,40,0,5,5,5,2759,2759,2759,False,False,False,False,False
GPT3.5,gsm8k,268,1375,5,2356,5,5,5,2356,2356,2356,True,True,True,True,True
GPT3.5,gsm8k,269,4,5,1512,5,5,5,1512,1512,1512,True,True,True,True,True
GPT3.5,gsm8k,270,762,5,2214,5,5,5,2214,2214,2214,True,True,True,True,True
GPT3.5,gsm8k,271,20,25,1134,5,5,40,2535,2535,0,True,True,True,True,True
GPT3.5,gsm8k,272,5,5,1475,5,5,40,1475,1475,0,True,True,True,True,True
GPT3.5,gsm8k,273,315,5,2458,5,5,5,2458,2458,2458,True,True,True,True,True
GPT3.5,gsm8k,274,3200,5,2252,5,5,15,2252,2252,1611,True,True,True,True,True
GPT3.5,gsm8k,275,138,10,3574,5,5,10,4163,4163,3574,True,True,True,True,True
GPT3.5,gsm8k,276,9,10,3465,5,5,5,4023,4023,4023,True,True,True,True,True
GPT3.5,gsm8k,277,4,20,2005,5,5,5,3451,3451,3451,True,True,True,True,True
GPT3.5,gsm8k,278,40,10,1721,5,5,15,1945,1945,1383,True,True,True,True,True
GPT3.5,gsm8k,279,6,5,3114,5,5,5,3114,3114,3114,True,True,True,True,True
GPT3.5,gsm8k,280,7,5,1872,5,5,5,1872,1872,1872,True,True,True,True,True
GPT3.5,gsm8k,281,2450,5,2830,5,5,20,2830,2830,1643,True,True,True,True,True
GPT3.5,gsm8k,282,195,5,2671,5,5,5,2671,2671,2671,True,True,True,True,True
GPT3.5,gsm8k,283,68,5,2632,5,5,5,2632,2632,2632,True,True,True,True,True
GPT3.5,gsm8k,284,360,10,2167,5,5,5,2490,2490,2490,True,True,True,True,True
GPT3.5,gsm8k,285,21,5,1389,5,5,5,1389,1389,1389,True,True,True,True,True
GPT3.5,gsm8k,286,90,5,2203,5,5,5,2203,2203,2203,True,True,True,True,True
GPT3.5,gsm8k,287,8,10,2518,5,5,20,2961,2961,1658,True,True,True,True,True
GPT3.5,gsm8k,288,3,10,1460,5,5,5,1691,1691,1691,True,True,False,False,False
GPT3.5,gsm8k,289,16,5,3106,5,5,5,3106,3106,3106,True,True,True,True,True
GPT3.5,gsm8k,290,390,5,2255,5,5,5,2255,2255,2255,True,True,True,True,True
GPT3.5,gsm8k,291,2,5,2879,5,5,40,2879,2879,0,True,True,True,True,True
GPT3.5,gsm8k,292,75,10,1819,5,5,40,2159,2159,0,True,True,True,True,True
GPT3.5,gsm8k,293,83,40,0,5,5,20,3432,3432,1983,False,False,True,True,False
